Organization Name,Address,Tel-no,Category,Keywords
"TRI RIVERS SURGICAL ASSOCIATES, INC",9104 BABCOCK BLVD STE 2120 PITTSBURGH United States 152375818 PA,412-367-0600,Orthopaedic Surgery,Surgery
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-325-7200,Home Health,
"METRO FAMILY PRACTICE, INC.",1789 S BRADDOCK AVE SUITE 410 PITTSBURGH United States 152181842 PA,412-247-2310,Clinic/Center Federally Qualified Health Center (FQHC),
ELIZUR CORPORATION,9800A MCKNIGHT RD STE 200 PITTSBURGH United States 152376003 PA,412-358-4523,Durable Medical Equipment & Medical Supplies,
MEDICAL ACUPUNCTURE LLC,300 MOUNT LEBANON BLVD STE 2200B  PITTSBURGH United States 152341508 PA,412-884-8990,Acupuncturist,
RADIOLOGY ASSOCIATES OF WESTERN PENNSYLVANIA,4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-578-1783,Radiology Diagnostic Radiology,Radiology
CAMPBELL & PHILBIN MEDICAL ASSOCIATES P C,1400 LOCUST ST STE 5109 PITTSBURGH United States 152195114 PA,412-281-2575,Internal Medicine,
"SOUTHWESTERN HEARING CARE, INC.",500 LEWIS RUN RD STE 117 PITTSBURGH United States 151223057 PA,412-466-5550,Specialist,
PHYSICAL REHABILITATION SERVICES INC,1033 PERRY HWY  PITTSBURGH United States 152372123 PA,412-366-3880,Physical Therapist,
ALLERGY & ASTHMA ASSOCIATES OF PITTSBURGH,320 FORT DUQUESNE BLVD STE 380 PITTSBURGH United States 152221102 PA,412-471-3818,Allergy & Immunology Allergy,
"CJ CRITICAL CARE TRANSPORTATION SYSTEMS, INC.",57 ALLEGHENY COUNTY AIRPORT  PITTSBURGH United States 151222674 PA,800-660-1605,Ambulance Air Transport,
"G.I. SPECIALISTS, INC.",1050 BOWER HILL RD STE 305 PITTSBURGH United States 152431869 PA,412-572-6951,Internal Medicine Gastroenterology,
VINCENTIAN DE MARILLAC,5300 STANTON AVE  PITTSBURGH United States 152062083 PA,412-361-2833,Skilled Nursing Facility,
LINCOLN ENTERPRISES,232 NORTH AVE  PITTSBURGH United States 152092502 PA,412-821-3332,Pharmacy,Pharmacy
VINCENTIAN HOME,111 PERRYMONT RD  PITTSBURGH United States 152375239 PA,412-366-5600,Skilled Nursing Facility,
DLS HOLDINGS LLC,100 FOREST HILLS PLAZA  PITTSBURGH United States 15221 PA,412-829-2450,"Clinic/Center Rehabilitation, Comprehensive Outpatient Rehabilitation Facility (CORF)",Mental Health and Rehabilitation
FAMILY SERVICES OF WESTERN PENNSYLVANIA,3230 WILLIAM PITT WAY  PITTSBURGH United States 152381361 PA,412-820-2050,Community/Behavioral Health,
"WEST PENN RADIATION ONCOLOGY ASSOCIATES, PC",4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-578-1923,Radiology Radiation Oncology,Radiology
"SARMA BEHAVIORAL HEALTH ASSOCIATES, INC.",12 EASTERN AVE SUITE 100 PITTSBURGH United States 152153038 PA,412-782-1000,Psychiatry & Neurology Psychiatry,
"HIGHLAND PARK CARE CENTER, LLC",745 N HIGHLAND AVE  PITTSBURGH United States 152062526 PA,412-362-6622,Skilled Nursing Facility,
HIEBER'S PHARMACY INC.,3500 5TH AVE SUITE 101 PITTSBURGH United States 152133337 PA,412-681-6400,Pharmacist,Pharmacy
"ALLEGHENY RADIOLOGY ASSOCIATES, LTD",320 E NORTH AVE  PITTSBURGH United States 152124756 PA,412-359-4113,Radiology Diagnostic Radiology,Radiology
TRI-STATE MOBILE X-RAY INC,4684 CLAIRTON BLVD  PITTSBURGH United States 152362114 PA,412-881-9333,"Clinic/Center Radiology, Mobile",Radiology
"THE CIRCULATORY CENTER OF PA, INC.",300 CHAPEL HARBOR DR SUITE 102 PITTSBURGH United States 152384131 PA,412-967-9220,Family Medicine,
"MEDEXPRESS URGENT CARE, PC - MONROEVILLE",3433 WILLIAM PENN HWY  PITTSBURGH United States 152355412 PA,412-825-3627,Clinic/Center Urgent Care,
SELECT SPECIALTY HOSPITAL - PITTSBURGH/UPMC INC,200 LOTHROP ST MUH E824 PITTSBURGH United States 152132546 PA,412-586-9821,Long Term Care Hospital,
WEST PENN ALLEGHENY HEALTH SYSTEM,"4 ALLEGHENY CENTER, 6TH FLOOR, SUITE 603  PITTSBURGH United States 15212 PA",412-330-4211,Home Health,
"WEINSTEIN IMAGING ASSOCIATES, P. C.","1910 COCHRAN RD MANOR OAK TWO, SUITE 740 PITTSBURGH United States 152201203 PA",412-440-6999,Radiology Diagnostic Radiology,Radiology
PITTSBURGH VASCULAR SURGICAL ASSOCIATES PC,5200 CENTRE AVE SUITE 705 PITTSBURGH United States 152321300 PA,412-681-8720,Surgery Vascular Surgery,Surgery
ALLEGHENY CLINIC,1307 FEDERAL ST 2ND FLOOR PITTSBURGH United States 152124705 PA,877-660-6777,Physical Medicine & Rehabilitation,Mental Health and Rehabilitation
ALLEGHENY CLINIC,320 E NORTH AVE  PITTSBURGH United States 152124756 PA,412-359-4379,Pediatrics Pediatric Critical Care Medicine,
"BETHANY HOSPICE SERVICES OF WESTERN PENNSYLVANIA, LLC",875 GREENTREE RD STE 100 SIX PARKWAY CENTER PITTSBURGH United States 152203508 PA,412-921-2209,"Hospice Care, Community Based",
NV PODIATRY,532 S AIKEN AVE STE 108 PITTSBURGH United States 152321521 PA,412-621-5700,Podiatrist,
LANDMARK HOME HEALTH CARE SERVICES,209 THIRTEENTH STREET  PITTSBURGH United States 152152418 PA,412-781-1176,Home Health,
DEPARTMENT OF MILITARY AND VETERANS AFFAIRS,7060 HIGHLAND DR  PITTSBURGH United States 152061259 PA,412-665-6737,Pharmacy Long Term Care Pharmacy,Pharmacy
ODYSSEY HEALTHCARE OPERATING A LP,5315 CAMPBELLS RUN RD STE 190  PITTSBURGH United States 152059005 PA,412-920-5500,"Hospice Care, Community Based",
DOUGLAS F CLOUGH MD & ASSOCIATES PC,9104 BABCOCK BLVD SUITE 1113 PITTSBURGH United States 152375818 PA,412-366-7070,Internal Medicine,
SOUTH HILLS PULMONARY ASSOCIATES,1050 BOWER HILL RD SUITE 306 PITTSBURGH United States 152431800 PA,412-572-6168,Internal Medicine Pulmonary Disease,
ASSOCIATES IN INFECTIOUS DISEASE AND TROPICAL MEDICINE INC,5230 CENTRE AVE  PITTSBURGH United States 152321304 PA,412-661-1633,Internal Medicine Infectious Disease,
"PERKINELMER GENETICS, INC.",250 INDUSTRY DR STE 400  PITTSBURGH United States 152751017 PA,412-220-2300,Clinical Medical Laboratory,
"ALLEGHENY IMAGING OF MCCANDLESS, LLC",9335 MCKNIGHT RD  PITTSBURGH United States 152375903 PA,412-359-8743,Radiology Diagnostic Radiology,Radiology
"ASSOCIATES CHIROPRACTIC CLINIC & REHABILITATION CENTER, INC.",2275 SWALLOW HILL RD BUILDING 2600 PITTSBURGH United States 152201656 PA,412-279-4522,Chiropractor,
